User identification,FIA_UID,"This family defines the conditions under which users shall be required to identify themselves  before performing any other actions that are to be mediated by the TSF and which require user  identification."
User-subject binding,FIA_USB,"An authenticated user, in order to use the TOE, typically activates a subject. The user's security  attributes are associated (totally or partially) with this subject. This family defines requirements  to create and maintain the association of the user's security attributes to a subject acting on the  user's behalf."
Limited capabilities and availability,FMT_LIM, "This family defines requirements that limit the capabilities and availability of functions in a  combined manner."
Management of functions in TSF,FMT_MOF,  "This family allows authorized users to control over the management of functions in the TSF."
Management of security attributes,FMT_MSA,  "This family allows authorized users control over the management of security attributes. This  management can include capabilities for viewing and modifying of security attributes."
Management of TSF data,FMT_MTD, "This family allows authorized users (roles) control over the management of TSF data."
Revocation,FMT_REV,  "This family addresses revocation of security attributes for a variety of entities within a TOE."
Security attribute expiration,FMT_SAE,  "This family addresses the capability to enforce time limits for the validity of security attributes."
Specification of Management Functions,FMT_SMF, "This family allows the specification of the management functions to be provided by the TOE.  Management functions provide TSFI that allow administrators to define the parameters that  control the operation of security-related aspects of the TOE, such as data protection attributes,  TOE protection attributes, audit attributes, and identification and authentication attributes.  Management functions also include those functions performed by an operator to ensure  continued operation of the TOE, such as backup and recovery. This family works in conjunction  with the other components in the FMT: Security management class: the component in this family  calls out the management functions, and other families in FMT: Security management restricts  the ability to use these management functions."
Security management roles,FMT_SMR, "This family is intended to control the assignment of different roles to users. The capabilities of  these roles with respect to security management are described in the other families in this class."
Anonymity,FPR_ANO, "This family ensures that a user can use a resource or service without disclosing the user's identity.  The requirements for anonymity provide protection of the user identity. Anonymity is not  intended to protect the subject identity."
Pseudonymity,FPR_PSE, "This family ensures that a user may use a resource or service without disclosing its user identity  but can still be accountable for that use."
Unlinkability,FPR_UNL, "This family ensures that selected entities can be linked together without external entities being  able to back trace these links."
Unobservability,FPR_UNO, "This family ensures that a user can use a resource or service without others, especially third  parties, being able to observe that the resource or service is being used."
TOE emanation,FPT_EMS, "The family FPT_EMS (TOE Emanation) of the class FPT (Protection of the TSF) describes the IT  SFRs of the TOE related to leakage of information based on emanation.  If the TOE must prevent attacks against the TOE and secret data processed by the TOE where the  attack is based on external observable phenomena of the TOE during its operation, different types  of emissions and interfaces of the TOE as well as different types of TSF data and user data can be  addressed."
Fail secure,FPT_FLS,  "The requirements of this family ensure that the TOE will always enforce its SFRs in the event of  identified categories of failures in the TSF."
TSF initialization,FPT_INI,  "This family describes the functional requirements for the initialization of the TSF by a dedicated  function of the TOE that ensures the initialization in a correct and secure operational state."
Availability of exported TSF data,FPT_ITA,"This family defines the rules for the prevention of loss of availability of TSF data moving between  the TSF and another trusted IT product."
Confidentiality of exported TSF data,FPT_ITC, "This family defines the rules for the protection from unauthorized disclosure of TSF data during  transmission between the TSF and another trusted IT product."
Integrity of exported TSF data,FPT_ITI,"This family defines the rules for the protection, from unauthorized modification, of TSF data  during transmission between the TSF and another trusted IT product."
Internal TOE TSF data transfer,FPT_ITT, "This family provides requirements that address protection of TSF data when it is transferred  between separate parts of a TOE across an internal channel."
TSF physical protection,FPT_PHP, "TSF physical protection components refer to restrictions on unauthorized physical access to the  TSF, and to the deterrence of, and resistance to, unauthorized physical modification, or  substitution of the TSF.  The requirements of components in this family ensure that the TSF is protected from physical  tampering and interference. Satisfying the requirements of these components results in the TSF  being packaged and used in such a manner that physical tampering is detectable, or resistance to  physical tampering is enforced. Without these components, the protection functions of a TSF lose  their effectiveness in environments where physical damage cannot be prevented. This family also  provides requirements regarding how the TSF shall respond to physical tampering attempts."
Trusted recovery,FPT_RCV, "The requirements of this family ensure that the TSF can determine that the TOE is started up  without protection compromise and can recover without protection compromise after  discontinuity of operations. This family is important because the start-up state of the TSF  determines the protection of subsequent states."
Replay detection,FPT_RPL,"This family addresses detection of replay for various types of entities and subsequent actions to  correct. In the case where replay may be detected, this effectively prevents it."
State synchrony protocol,FPT_SSP, "Distributed TOEs can give rise to greater complexity than monolithic TOEs through the potential  for differences in state between parts of the TOE, and through delays in communication. In most  cases synchronization of state between distributed functions involves an exchange protocol, not  a simple action. When malice exists in the distributed environment of these protocols, more  complex defensive protocols are required.  State synchrony protocol (FPT_SSP) establishes the requirement for certain critical functions of  the TSF to use this trusted protocol. State synchrony protocol (FPT_SSP) ensures that two  distributed parts of the TOE have synchronized their states after a security-relevant action."
Time stamps,FPT_STM,"This family addresses requirements for a reliable time stamp function within a TOE."
Inter-TSF TSF data consistency,FPT_TDC, "In a distributed environment, a TOE may need to exchange TSF data with another trusted IT  product. This family defines the requirements for sharing and consistent interpretation of these  attributes between the TSF of the TOE and a different trusted IT product."
Testing of external entities,FPT_TEE, "This family defines requirements for the TSF to perform tests on one or more external entities.  This component is not intended to be applied to human users.  External entities can include applications running on the TOE, hardware or software running  “underneath” the TOE (e.g. platforms, operating systems) or applications/boxes connected to the  TOE (e.g. intrusion detection systems, firewalls, login servers, time servers)."
Internal TOE TSF data replication consistency,FPT_TRC, "The requirements of this family are needed to ensure the consistency of TSF data when such data  is replicated internal to the TOE. Such data can become inconsistent if the internal channel  between parts of the TOE becomes inoperative. If the TOE is internally structured as a network  and parts of the TOE network connections are broken, this can occur when parts become disabled."
TSF self-test,FPT_TST,"The family defines the requirements for the self-testing of the TSF with respect to some expected  correct operation. Examples are interfaces to enforcement functions, and sample arithmetical  operations on critical parts of the TOE. These tests can be carried out at start-up, periodically, at  the request of the authorized user, or when other conditions are met. The actions to be taken by  the TOE as the result of self-testing are defined in other families.  The requirements of this family are also needed to detect the corruption of TSF data and TSF itself  (i.e. TSF executable code or TSF hardware component) by various failures that do not necessarily  stop the TOE's operation (which would be handled by other families). These checks need to be  performed because these failures cannot necessarily be prevented. Such failures can occur either  because of unforeseen failure modes or associated oversights in the design of hardware,  firmware, or software, or because of malicious corruption of the TSF due to inadequate logical  and/or physical protection."
Fault tolerance,FRU_FLT, "The requirements of this family ensure that the TOE will maintain correct operation even in the  event of failures."
Priority of service,FRU_PRS, "The requirements of this family allow the TSF to control the use of resources under the control of  the TSF by users and subjects such that high priority activities under the control of the TSF will  always be accomplished without undue interference or delay caused by low priority activities."
Resource allocation,FRU_RSA, "The requirements of this family allow the TSF to control the use of resources by users and subjects  such that denial of service will not occur because of unauthorized monopolization of resources."
Limitation on scope of selectable attributes,FTA_LSA, "This family defines requirements to limit the scope of session security attributes that a user can  select for a session."
Limitation on multiple concurrent sessions,FTA_MCS, "This family defines requirements to place limits on the number of concurrent sessions that belong  to the same user."
Session locking and termination,FTA_SSL, "This family defines requirements for the TSF to provide the capability for TSF-initiated and userinitiated locking, unlocking, and termination of interactive sessions."
TOE access banners,FTA_TAB,"This family defines requirements to display a configurable advisory warning message to  users regarding the appropriate use of the TOE."
TOE access history,FTA_TAH, "This family defines requirements for the TSF to display to a user, upon successful session  establishment, a history of successful and unsuccessful attempts to access the user's account."
TOE session establishment,FTA_TSE,"This family defines requirements to deny a user permission to establish a session with the TOE."
Inter-TSF trusted channel,FTP_ITC, "This family defines requirements for the creation of a trusted channel between the TSF and other  trusted IT products for the performance of security critical operations. The components of this  family may be included whenever there are requirements for the secure communication of user  or TSF data between the TOE and other trusted IT products."
Trusted channel protocol,FTP_PRO, "This family defines requirements for establishing a trusted channel and using the trusted channel  to transfer the TSF data or user data securely."
Trusted path,FTP_TRP,"This family defines the requirements to establish and maintain trusted communication to or from  users and the TSF. A trusted path can be required for any security-relevant interaction. Trusted  path exchanges can be initiated by a user during an interaction with the TSF, or the TSF can  establish communication with the user via a trusted path."
